age,box_ddpm,box_odpm,d_dpm,d_dpm_rank,dpm,dpm_rank,nba_id,o_dpm,o_dpm_rank,on_off_ddpm,on_off_odpm,player_name,season,team_name,tm_id
25.6,-1.57,-0.35,-1.52,427,-1.97,296,143,-0.45,164,-1.37,-0.92,Terry Dehere,1997,Los Angeles Clippers,1610612746
25.8,-0.64,1.62,-0.68,317,0.67,63,145,1.35,41,-0.76,0.62,Tracy Murray,1997,Washington Wizards,1610612764
29,0.14,-1.14,0.04,126,-1.09,186,146,-1.13,238,-0.31,-1.11,Jud Buechler,1997,Chicago Bulls,1610612741
24.2,-0.75,0.34,-0.51,268,-0.34,124,147,0.18,104,0.1,-0.54,Jalen Rose,1997,Indiana Pacers,1610612754
30.8,-0.08,-2.94,-0.1,155,-2.98,409,154,-2.88,421,-0.21,-2.36,Adrian Caldwell,1997,Philadelphia 76ers,1610612755
35.9,-0.2,-2.49,-0.38,224,-2.86,399,156,-2.48,394,-0.71,-2.45,Antoine Carr,1997,Utah Jazz,1610612762
35.5,-1.42,-0.26,-1.14,399,-1.53,239,157,-0.39,157,-0.75,-0.7,Derek Harper,1997,Dallas Mavericks,1610612742
29.5,0.13,-0.87,0.26,87,-0.54,138,164,-0.8,200,0.44,-0.65,Chris Childs,1997,New York Knicks,1610612752
34.4,3.14,1.48,2.47,3,3.96,4,165,1.48,37,1.86,1.49,Hakeem Olajuwon,1997,Houston Rockets,1610612745
33.4,1.82,0.26,1.36,19,1.46,34,166,0.1,110,0.7,-0.28,Ron Harper,1997,Chicago Bulls,1610612741
27.2,0.32,0.1,0.32,80,0.36,75,168,0.04,118,0.31,-0.07,Chris Mills,1997,Cleveland Cavaliers,1610612739
35.3,-0.76,-3.3,-0.62,305,-3.88,448,170,-3.26,445,-0.13,-3.01,Joe Kleine,1997,Brooklyn Nets,1610612751
29.5,0.15,-1.25,0.2,100,-0.9,169,173,-1.1,236,0.28,-0.7,Keith Askins,1997,Miami Heat,1610612748
38.6,0.08,-2.79,0.04,126,-2.8,390,175,-2.84,419,-0.25,-3.29,Alton Lister,1997,Boston Celtics,1610612738
26.5,-0.39,-2.29,-0.39,229,-2.68,378,176,-2.29,378,-0.42,-1.83,Antonio Harvey,1997,Oklahoma City Thunder,1610612760
32.3,-0.52,0.77,-0.38,224,0.24,80,177,0.62,70,-0.15,0.17,Muggsy Bogues,1997,Charlotte Hornets,1610612766
32.4,-0.67,-2.41,-0.35,215,-2.61,374,178,-2.26,375,0.01,-1.98,Olden Polynice,1997,Sacramento Kings,1610612758
