season,team_tier,pos,player,age,tm,pts_won,pts_max,share,g,mp,pts,trb,ast,stl,blk,fg_percent,x3p_percent,ft_percent,ws,ws_48,dws,dbpm,d_rtg,defense_team
2017,ORV,G,Kentavious Caldwell-Pope,23,DET,1,200,0.005,76,33.3,13.8,3.3,2.5,1.2,0.2,0.399,0.35,0.832,4.5,0.086,2.5,0.4,109,Other Votes
2017,ORV,G,George Hill,30,UTA,1,200,0.005,49,31.5,16.9,3.4,4.2,1,0.2,0.477,0.403,0.801,5.9,0.182,1.9,0.8,107,Other Votes
2017,ORV,F,Serge Ibaka,27,TOT,1,200,0.005,79,30.7,14.8,6.8,0.9,0.5,1.6,0.48,0.391,0.856,5.1,0.101,2.6,-0.3,109,Other Votes
2017,ORV,G,Damian Lillard,26,POR,1,200,0.005,75,35.9,27,4.9,5.9,0.9,0.3,0.444,0.37,0.895,10.4,0.185,1.5,-1.1,113,Other Votes
2017,ORV,F,Luc Mbah a Moute,30,LAC,1,200,0.005,80,22.3,6.1,2.1,0.5,1,0.4,0.505,0.391,0.678,3.1,0.084,1.8,1.3,109,Other Votes
2017,ORV,G,Austin Rivers,24,LAC,1,200,0.005,74,27.8,12,2.2,2.8,0.6,0.1,0.442,0.371,0.691,2.5,0.059,1.3,-1,112,Other Votes
2017,ORV,G,Isaiah Thomas,27,BOS,1,200,0.005,76,33.8,28.9,2.7,5.9,0.9,0.2,0.463,0.379,0.909,12.5,0.234,1.6,-1.1,112,Other Votes
2017,ORV,C,Cody Zeller,24,CHO,1,200,0.005,62,27.8,10.3,6.5,1.6,1,0.9,0.571,0,0.679,5.6,0.157,2.2,1.1,107,Other Votes
2018,1st,C,Rudy Gobert,25,UTA,192,200,0.96,56,32.4,13.5,10.7,1.4,0.8,2.3,0.622,NA,0.682,8.1,0.214,3.9,2.5,99,1st Team
2018,1st,F,Anthony Davis,24,NOP,163,200,0.815,75,36.4,28.1,11.1,2.3,1.5,2.6,0.534,0.34,0.828,13.7,0.241,4.9,1.4,102,1st Team
2018,1st,G,Victor Oladipo,25,IND,136,200,0.68,75,34,23.1,5.2,4.3,2.4,0.8,0.477,0.371,0.799,8.2,0.155,4,1.7,104,1st Team
2018,1st,G,Jrue Holiday,27,NOP,105,200,0.525,81,36.1,19,4.5,6,1.5,0.8,0.494,0.337,0.786,7.1,0.116,2.9,0.3,109,1st Team
2018,1st,F,Robert Covington,27,PHI,90,200,0.45,80,31.7,12.6,5.4,2,1.7,0.9,0.413,0.369,0.853,6.1,0.116,4.5,1.7,103,1st Team
